Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SCBGF,32,False,-16.171354,ACQ,27.07079,27.2425,1837.5,600.0,0.08081821
SCBZ,6,False,-87.7875,DROP,0.52475214,0.62,8072.095,1084.0,0.39045253
SCBZ,16,False,-82.22221,DROP,0.0571381,0.058,5058.02,0.0,0.2660561
SCBZ,29,False,-84.15842,DROP,0.008816251,0.0075,17945.13,556.5,0.5582416
SCBZ,30,False,-96.0,DROP,0.0094538,0.0098,19852.89,500.0,0.5102713
SCBZ,5,False,-80.85714,ACQ,0.45849365,0.6,13841.595,1040.5,0.5703901
SCBZ,15,False,-72.94545,ACQ,0.052915353,0.055,4121.635,0.0,0.34168667
SCBZ,27,False,-69.23077,ACQ,0.004994,0.0040450003,10090.095,270.0,0.4853569
SCBZ,28,False,-87.69231,ACQ,0.00664305,0.0051,18832.42,863.0,0.6822992
SCCC,29,False,-1.8253369,DROP,25.301207,25.2575,43526.5,7650.0,0.014093008
SCCC,31,False,-7.6506944,DROP,25.74965,25.865002,7714.0,4000.0,0.013231247
SCCC,28,False,-0.4477313,ACQ,25.129135,25.06,95830.5,23500.0,0.009160064
SCCC,30,False,-4.0030756,ACQ,25.510614,25.592499,12447.0,5150.0,0.016933456
SCCD,34,False,-15.469392,DROP,24.925365,24.85,35756.0,63000.0,0.011558141
SCCD,33,False,-14.872406,ACQ,24.946173,24.85,50189.5,63000.0,0.0075191003
SCCFF,6,False,-14.405611,DROP,0.5694687,0.402,10.995,0.0,0.6165755
SCCFF,8,True,6.153851,DROP,0.8017131,0.779999,12.5,0.0,0.32738832
SCCFF,9,True,48.546917,DROP,0.85279393,0.779999,11.91,0.0,0.25230062
SCCFF,15,True,182.02922,DROP,0.78281903,0.827999,0.215,0.0,0.066401854
SCCFF,16,True,227.99487,DROP,0.8430897,0.827999,0.795,0.0,0.15641093
SCCFF,19,False,-70.162025,DROP,1.1349123,1.311899,1.14,0.0,0.26712397
SCCFF,22,False,-14.81252,DROP,2.063297,2.309999,8.045,0.0,0.29541126
