Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
AAOI,6,37,310,10,3.225806451612903,5,1.6129032258064515,-34.144551888478944,-32.34013832585939
AAOI,7,58,139,4,2.877697841726619,3,2.158273381294964,-34.144551888478944,-32.34013832585939
AAOI,8,61,307,9,2.9315960912052117,33,10.749185667752444,-34.144551888478944,-32.34013832585939
AAOI,9,71,176,4,2.272727272727273,2,1.1363636363636365,-34.144551888478944,-32.34013832585939
AAON,0,24,230,26,11.304347826086957,6,2.608695652173913,128.68463458973568,40.51058396036584
AAON,1,36,82,3,3.6585365853658534,0,0.0,128.68463458973568,40.51058396036584
AAON,2,25,273,33,12.087912087912088,3,1.098901098901099,128.68463458973568,40.51058396036584
AAON,3,31,237,14,5.9071729957805905,9,3.79746835443038,128.68463458973568,40.51058396036584
AAON,4,50,342,33,9.649122807017543,5,1.461988304093567,128.68463458973568,40.51058396036584
AAON,5,50,308,12,3.896103896103896,22,7.142857142857142,128.68463458973568,40.51058396036584
AAON,6,12,98,11,11.224489795918368,5,5.1020408163265305,128.68463458973568,40.51058396036584
AAON,7,45,223,17,7.623318385650224,5,2.242152466367713,128.68463458973568,40.51058396036584
AAON,8,24,355,56,15.774647887323944,5,1.4084507042253522,128.68463458973568,40.51058396036584
AAON,9,42,165,4,2.4242424242424243,4,2.4242424242424243,128.68463458973568,40.51058396036584
AAP,0,50,105,11,10.476190476190476,10,9.523809523809524,8.759548780528302,28.648819920001245
AAP,1,6,240,42,17.5,5,2.083333333333333,8.759548780528302,28.648819920001245
AAP,2,9,221,14,6.334841628959276,29,13.122171945701359,8.759548780528302,28.648819920001245
AAP,3,7,74,2,2.7027027027027026,1,1.3513513513513513,8.759548780528302,28.648819920001245
AAP,4,37,186,10,5.376344086021505,4,2.1505376344086025,8.759548780528302,28.648819920001245
AAP,5,56,291,11,3.7800687285223367,26,8.934707903780069,8.759548780528302,28.648819920001245
AAP,6,10,342,31,9.064327485380117,9,2.631578947368421,8.759548780528302,28.648819920001245
AAP,7,42,276,42,15.217391304347828,4,1.4492753623188406,8.759548780528302,28.648819920001245
AAP,8,5,116,6,5.172413793103448,1,0.8620689655172413,8.759548780528302,28.648819920001245
AAP,9,12,266,10,3.7593984962406015,10,3.7593984962406015,8.759548780528302,28.648819920001245
AAPI,0,56,130,12,9.230769230769232,15,11.538461538461538,-23.913043478260864,-36.17021211837416
AAPI,1,51,262,8,3.0534351145038165,11,4.198473282442748,-23.913043478260864,-36.17021211837416
AAPI,2,57,95,6,6.315789473684211,15,15.789473684210526,-23.913043478260864,-36.17021211837416
AAPI,3,16,240,21,8.75,22,9.166666666666666,-23.913043478260864,-36.17021211837416
AAPI,4,55,230,19,8.26086956521739,9,3.91304347826087,-23.913043478260864,-36.17021211837416
AAPI,5,35,84,4,4.761904761904762,8,9.523809523809524,-23.913043478260864,-36.17021211837416
AAPI,6,46,66,2,3.0303030303030303,11,16.666666666666664,-23.913043478260864,-36.17021211837416
AAPI,7,29,130,15,11.538461538461538,5,3.8461538461538463,-23.913043478260864,-36.17021211837416
AAPI,8,5,116,6,5.172413793103448,1,0.8620689655172413,-23.913043478260864,-36.17021211837416
AAPI,9,17,337,10,2.967359050445104,24,7.121661721068249,-23.913043478260864,-36.17021211837416
AAPJ,0,17,265,11,4.150943396226415,46,17.358490566037734,682.8829048941838,67.98275522141128
AAPJ,1,58,89,8,8.98876404494382,15,16.853932584269664,682.8829048941838,67.98275522141128
AAPJ,2,17,202,16,7.920792079207921,5,2.4752475247524752,682.8829048941838,67.98275522141128
AAPJ,3,12,131,10,7.633587786259542,15,11.450381679389313,682.8829048941838,67.98275522141128
AAPJ,4,34,132,12,9.090909090909092,13,9.848484848484848,682.8829048941838,67.98275522141128
AAPJ,5,1,347,31,8.93371757925072,29,8.357348703170029,682.8829048941838,67.98275522141128
AAPJ,6,12,98,11,11.224489795918368,5,5.1020408163265305,682.8829048941838,67.98275522141128
