security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
IPA,9,0.4451568723724513,3.2493845103476495,110008.70678165425,7149.211756393675,volume,26665553.17770024,7149.211756393675,-86.60147094726562,-6191.322542171767,533304872.2314626
ASML,8,0.44514726006088196,383.35638062980064,968091.06885759,7422477.765545616,volume,26665243.61157313,7422477.765545616,-10.784754753112791,-800496.0236184209,532504376.2078442
IPMLF,8,0.44513697052844703,2.992064719945952,6968.744805958448,417.0187095242974,volume,26625218.810392212,417.0187095242974,-39.63374328613281,-165.2801247880039,532504210.9277194
EGYF,8,0.4451001156626786,0.04590905260223291,167199.29248238058,153.5192222725947,volume,26625210.546385974,153.5192222725947,52.20858383178711,80.1502118580952,532504291.0779313
HGHAF,9,0.4450480485758383,1.988024255675395,6649.759012539185,264.39764422647926,volume,26625214.553896565,264.39764422647926,-15.782846450805664,-41.72947420781267,532504249.3484571
PNBK,8,0.44488319986363034,12.27407995269421,5266.54331634653,1292.8394747832926,volume,26625212.467422858,1292.8394747832926,-70.64703369140625,-913.3527393259524,532503335.99571776
SIVBQ,9,0.44487009032165054,233.5612855824914,604548.5008203445,2823982.500971351,volume,26625166.79978589,2823982.500971351,-99.99625396728516,-2823876.713663003,529679459.2820547
ACAN,10,0.44484186877900717,1.0879874412438224,29654.42097026604,645.272751860138,volume,26483972.964102738,645.272751860138,-90.37139129638672,-583.1419635124878,529678876.1400912
CDMO,9,0.44475108674982305,9.461945201832721,520013.043444227,98406.69842615069,volume,26483943.80700456,98406.69842615069,-36.31143569946289,-35732.885022976065,529643143.25506824
KPTI,10,0.4443848338191618,10.571790317047908,1280538.723245786,270751.7375002939,volume,26482157.162753414,270751.7375002939,-59.37988662719727,-160772.07476884127,529482371.1802994
NEWP,8,0.4442709438456718,1.978000785853175,94588.45746765974,3741.920864073412,volume,26474118.559014972,3741.920864073412,-41.61774444580078,-1557.3030625741728,529480813.87723684
RMNI,8,0.44420953275454533,6.221121108557369,216200.92153518123,26900.24233304143,volume,26474040.693861842,26900.24233304143,-44.88372421264648,-12073.830581295893,529468740.04665554
CALA,9,0.44417112187003516,95.07397771964366,40623.82675009777,77245.3759865092,volume,26473437.002332777,77245.3759865092,-99.66803741455078,-76988.95023924441,529391751.0964163
AXTI,8,0.44413427624021523,5.248200310041461,385396.4882629108,40452.75938380597,volume,26469587.554820817,40452.75938380597,-74.41887664794922,-30104.489106526267,529361646.60730976
COHU,9,0.4440224603615278,23.185978869301504,284952.22866092407,132137.92704985113,volume,26468082.33036549,132137.92704985113,-8.305831909179688,-10975.154109035113,529350671.4532007
CHRS,8,0.4438392729962834,14.824043515362021,1240456.4250392464,367771.600473844,volume,26467533.572660036,367771.600473844,-86.89442443847656,-319573.01547992026,529031098.4377208
OBNNF,10,0.443766512192387,2.4977961399982616,153965.3823109843,7691.482752594665,volume,26451554.92188604,7691.482752594665,59.35711288452149,4565.442099951116,529035663.8798207
CNX,9,0.4435423498692221,15.540243412240372,4299465.152310102,1336294.7001868824,volume,26451783.193991035,1336294.7001868824,79.53909301757812,1062876.684570611,530098540.5643913
RZLT,8,0.4434179307267849,25.514988628942234,59690.375931007446,30459.985262738843,volume,26504927.028219566,30459.985262738843,-81.85894775390625,-24934.223422072933,530073606.3409692
FATE,11,0.44312257466125204,19.132124949566204,1056730.5393654525,404350.0143432465,volume,26503680.31704846,404350.0143432465,-47.32369613647461,-191353.37211558947,529882252.9688536
QRTEA,11,0.4427037734147334,13.919649238237817,4069311.6409251275,1132867.8136551147,volume,26494112.648442682,1132867.8136551147,-51.44762420654297,-582833.5755261629,529299419.3933274
MRUS,10,0.4426493582432106,21.94014468724343,213117.48220064724,93516.56789726453,volume,26464970.969666373,93516.56789726453,68.50617218017578,64064.621020691025,529363484.0143481
OKTA,10,0.4426063183465583,113.75718820709542,2117420.7020618557,4817436.506361013,volume,26468174.200717404,4817436.506361013,14.017566680908203,675287.3745895695,530038771.38893765
ARL,8,0.44252660571062885,12.1928443189518,9620.874021909232,2346.1163832277384,volume,26501938.569446884,2346.1163832277384,31.35224914550781,735.5602537131374,530039506.94919133
NBY,9,0.4425078619408114,3298.427979148939,89080.82281458251,5876533.567544562,volume,26501975.34745957,5876533.567544562,-99.4477767944336,-5844081.985501681,524195424.9636896
